,order_products_value,order_freight_value,product_description_lenght,product_photos_qty,review_score,review_comment_message,delta_days,Classificacao,pos_prob,neg_prob,neu_prob
13611,89.99,12.97,636,1,1,comprei com as medidas 2 00 l x 1 70 a foi entregue 2 00 l x 1 50cm a e agora o que faço com os 20cm que estão faltando,10.0,-1,1.4369000629422352e-07,0.998543141037173,0.001456715272815539
88622,169.9,19.49,194,1,1,o vendedor coloca uma foto de uma cortina branca mas vende uma cortina bege somente depois de voltar ao anúncio que percebi o nome palha escrito no fim do nome foto enganosa,9.0,-1,1.548616216388501e-07,0.9998761300315588,0.0001237151068109928
72266,69.9,13.85,687,3,5,a entrega chegou bem antes do prazo parabéns pela agilidade,10.0,1,0.9999997400067979,9.3460725430387e-09,2.5064713301904836e-07
92570,81.99,12.07,1361,2,5,rapido simples e pratico recomendadíssimo,6.0,1,0.9983451851316063,3.85823940585099e-05,0.0016162324743327768
62825,249.9,26.95,269,1,4,recebi antes do prazo em perfeitas condições super recomendo o preço é bem acessível e o produto com ótimos acabamentos,11.0,1,0.9999999985220711,7.129137045372303e-12,1.470795793955147e-09
85030,89.9,16.39,1204,7,5,o produto veio certinho pratico de usar e vale a pena,6.0,1,0.9987175747173087,0.00011235114323470578,0.0011700741394552179
80480,13.99,14.1,933,1,1,bao tarde o produto não tampa a tatuagem como e dito fora que o fret foi mas caro que o produto comprado e a embalagem nao e igual que e mostrada na propaganda veio em um potinho pequeno demais,11.0,-1,2.6615660268641945e-05,0.9596014467543847,0.040371937585360576
53077,189.0,16.76,807,4,2,mercadoria de qualidade só acho que o frete deveria ser mais acessível,20.0,-1,0.7447128456021315,0.08937987780217954,0.1659072765956943
7423,48.0,41.6,1371,1,5,muito eficiente e eficaz,8.0,1,0.9971610257974298,0.0006860602656663961,0.0021529139369028515
18084,64.9,12.79,844,3,5,super recomendo,4.0,1,0.9965024223375608,0.0026117939297766986,0.0008857837326618993
94517,14.99,7.78,1240,1,5,até então só utilizei o site por 3 vezes e foi satisfatório,12.0,1,0.4724212298076671,0.5049734776536258,0.022605292538705177
84503,52.9,15.12,1245,5,5,produto correto e entregue no prazo,8.0,1,0.9908039317324183,0.006578258480137266,0.0026178097874438237
84340,99.0,17.94,312,1,4,a colcha é muito bonita pena q não é matelado é só um lençol de babado,15.0,1,0.1766265797945068,0.11298715339755916,0.7103862668079319
17796,29.5,8.72,549,1,1,compra do produto foi realizada em 19 04 2017 e ate o momento não recebemos este produto o qual temos urgência compramos nesta loja pois normalmente entrega antes do prazo de enrega desta vez nã,33.0,-1,0.0005220054710861406,0.9994302858250723,4.7708703830387856e-05
15425,65.0,11.73,268,1,5,chegou muito antes do prazo muito satisfeita com a rapidez da entrega achei a base um pouco grande mais a luminária em sí é linda adorei,4.0,1,0.9999999949316702,3.5313497778424133e-12,5.064800058561678e-09
60961,84.9,13.61,404,4,3,produto bom recomendo sim,17.0,0,0.9974176969143627,0.0008448687373704352,0.0017374343482667795
99340,56.99,12.74,500,1,3,o mosquiteiro deveria ser tamanho unico e colocar o tamanho com a metragem eu queria q fosse king e nao e especificamente o produto atende,9.0,0,0.020902684027337973,0.0056069345801669735,0.9734903813925089
63687,37.5,17.6,1734,1,5,amei super indico mas fiz uma compra junto chapinha que não chegou ainda,8.0,1,0.9916514491886528,0.005399027810282951,0.0029495230010640012
27281,59.0,14.5,66,3,5,adorei o hulk indico para qualquer criança,10.0,1,0.988400317663811,0.008942116756081826,0.0026575655801051494
48151,84.99,15.35,1071,1,5,sem nenhum problema recomendo,7.0,1,0.9303457980695937,0.061931242710107214,0.007722959220300729
60027,99.9,21.19,221,2,4,boa a lona correspondeu as minhas expectativas e foi entregue antes do prazo estipulado,13.0,1,0.999998827411849,1.1786313493911478e-07,1.0547250191778835e-06
88210,103.9,13.17,681,2,5,otimo,8.0,1,0.9757947021470661,0.013681859873256118,0.010523437979677372
74322,186.98,15.04,571,1,1,o tonner está vazando e a impressão horrível mas o produto foi entregue rapidamente,6.0,-1,0.018570761759250265,0.9760535551057367,0.005375683135018877
32497,19.5,76.15,275,2,5,nossa adorei lindo relogio parabéns vou voltar,7.0,1,0.9999909138320331,6.246967524998322e-07,8.461471215056672e-06
8202,299.99,14.93,753,2,5,entrega antes do previsto tudo ótimo,4.0,1,0.9999894928186516,2.1490296967899958e-07,1.0292278379359543e-05
42818,39.0,7.39,192,5,5,amei lindo,5.0,1,0.9993240588738558,2.5247248285554694e-05,0.0006506938778583048
40086,69.98,51.26,395,1,1,comprei 02 produtos e recebi 01,27.0,-1,0.0040114668967026835,0.9913867338939525,0.00460179920934443
81591,119.0,40.78,2084,3,4,tinha entendido que o adesivo era volto no rolo ficou pequeno na parede,7.0,1,0.24781135046604644,0.3062097985679011,0.44597885096605866
13630,299.0,28.56,593,1,5,amei o site da loja,11.0,1,0.9975676833939288,0.0009251482370349242,0.001507168369037618
28268,12.99,8.72,477,1,1,a placa decorativa comprada é a pl 270 foi entregue a placa pl 207 como trocar o produto valmir 11 97641 6139,2.0,-1,4.813210554031785e-06,0.9996243810994792,0.00037080568996066904
92144,21.99,14.1,1311,2,4,demorou para chegar,46.0,1,0.331796930624734,0.3846599045769289,0.2835431647983389
7032,205.0,22.27,162,5,5,produto superou minhas expectativas ótimo acabamento lindo super recomendo,9.0,1,0.9999999825153197,1.797401580432791e-10,1.730493741577811e-08
86376,59.9,7.39,817,1,5,produto lindo entrega super rápida recomendo,1.0,1,0.9999954794866177,4.403041439399112e-07,4.080209236854133e-06
47305,59.9,20.87,655,4,4,boa entrega e recomendo,15.0,1,0.9934961193681395,0.0033857847654534773,0.0031180958664064084
57260,144.9,23.59,856,4,5,lindo o bebê recomendo,9.0,1,0.9954444213262909,0.0017398121960110692,0.002815766477697546
71695,191.4,25.65,535,4,5,muito bom gostei muito e recomendo compra,6.0,1,0.999881552574698,1.871674847952856e-05,9.973067682175758e-05
97304,129.0,38.42,2050,4,1,no site da lannister a data de entrega seria 04 01 mas no código de rastreio o produto foi postado no correio no dia 04 01 ou seja o produto ainda está em trânsito no dia de hoje 06 01,42.0,-1,9.391938173421551e-09,0.9999999814308185,9.177239778053901e-09
71451,199.9,32.05,918,1,4,gostei do produto,39.0,1,0.9652079540626285,0.021057047861427355,0.013734998075943321
50829,49.0,14.1,756,2,3,capa razoável película não se adapta ao s8,4.0,0,0.0008339801959527369,0.0316086683553168,0.9675573514487295
20520,99.9,29.1,1072,2,4,pedido entregue antes do prazo previsto em boas condições,24.0,1,0.9999800226193843,1.7136499103214899e-06,1.82637307060134e-05
37233,129.99,17.16,897,1,5,produto entregue antes do prazo em ótimo estado,10.0,1,0.9999936584767105,5.111027077760294e-07,5.830420579085036e-06
17066,37.99,21.15,486,1,1,comprei adaptador pta01 e me enviaram o pta127 que não funciona na minha smart tv,12.0,-1,2.2801128604016363e-05,0.9798811338090179,0.02009606506237461
33113,125.0,12.37,852,2,1,comprei o perfume silver intense e recebi o tradicional silver scent optei por não fazer a devolução vou ficar com prejuizo,9.0,-1,1.2404408105600927e-08,0.9997432868936753,0.0002567007019069706
59481,24.5,11.85,100,4,5,muito bom a capa cabe perfeitamente e o material é de boa qualidade recomendo,17.0,1,0.999695741867947,4.690815981698455e-06,0.0002995673160725774
59171,44.99,28.54,167,1,1,entregaram apenas o porta temperos os copos nao recebi que chato estou tendo sempre problemas na compra com a lannister,10.0,-1,0.0011469906836671872,0.9978269494164963,0.0010260598998425516
24666,57.5,11.9,341,3,5,ótimo,6.0,1,0.9759485881083321,0.005653692119720499,0.018397719771947305
2343,128.56,29.3,3723,1,5,chegou antes do prazo,23.0,1,0.9991609840494411,0.0003607275746522984,0.00047828837590746997
73431,91.38,25.86,2534,1,5,produto dentro dos conformes e entrega rápida,2.0,1,0.9996400295297077,3.8123584560896854e-05,0.00032184688573439775
82839,22.9,4.43,117,1,5,ótimo,13.0,1,0.9759485881083321,0.005653692119720499,0.018397719771947305
47487,199.0,13.73,731,1,1,produto avariado tinta seca esparramada sobre o produto lamentável até agora não recebi um substituto e nem o valor devolvido,8.0,-1,5.534991974874487e-09,0.9994681316199284,0.0005318628450808264
95413,299.8,76.02,911,1,5,produto chegou conforme combinado,29.0,1,0.9983980421997605,0.0011241411191344264,0.0004778166811040588
51719,46.86,14.52,677,3,4,o produto cumpre a descrição e chegou bem antes do prazo,7.0,1,0.9999821555618692,2.5828025507170987e-06,1.5261635578339198e-05
66265,185.99,10.12,558,1,5,super recomendo comprei o relogio na sexta feira a tarde segunda feira chegou,2.0,1,0.9459374889049696,0.053629692434879014,0.0004328186601510914
19027,18.9,25.63,248,1,5,a entrega atrasou,23.0,1,0.8338721330657926,0.064433757012371,0.10169410992183721
68594,449.0,20.39,940,2,5,loja recomenda,34.0,1,0.8744241356536848,0.050602054007476215,0.07497381033883824
77876,37.79,22.2,701,1,5,muito bom o produto,17.0,1,0.9892579899903389,0.0031259056017933413,0.007616104407867732
67807,79.8,35.94,184,2,1,comprei dois kits de almofadas e só foi entregue apenas um kit de almofada está faltando o outro kit e niguem me respondeu até agora se vão me entregar o outro kit,17.0,-1,9.867552095765567e-14,0.9999990881911067,9.118087963295205e-07
41540,97.9,8.88,816,2,5,agradeço pela rapidez na entrega recomendo sempre um site que não tem problemas respeito ao consumidor,9.0,1,0.997288439216823,0.002666108159768512,4.54526234131828e-05
91200,59.9,20.91,507,4,4,tudo foi rápido e simples apenas uma ressalva quanto ao rastreamento pois demora um pouco pra atualizar,12.0,1,0.10066428260384554,0.005746872169617337,0.8935888452265398
87802,1437.0,52.47,3611,4,5,muito satisfeito com o produto e prazo de entrega,8.0,1,0.9997149289922246,0.00011736777036951327,0.00016770323740583363
38737,33.8,30.2,544,1,4,quando vou receber a outra esteira porta copo so recebi uma 01 64545392,17.0,1,4.574095232240121e-05,0.9988569323205393,0.0010973267271336315
19911,12.5,19.32,526,2,5,rapido a entrega,3.0,1,0.9857415525296075,0.003927453251834097,0.010330994218558744
60390,55.9,19.09,608,4,5,produto para aniversário só falta testa lo mas acredito estar 100 o o muito,13.0,1,0.2962991371787268,0.5409311778650993,0.16276968495616917
56643,25.0,11.85,49,3,1,sempre recebo e desta vez não recebi,5.0,-1,0.22959822156139792,0.7548956432562673,0.015506135182334976
9427,139.8,0.0,903,6,1,liguei para reclamar foi aberto um protocolo a lannister ficou de me ligar para dar uma posição e ate o presente momento não recebi nem a explicação e nem o produto grata pela atenção,23.0,-1,7.263560909847527e-12,0.9999999548794573,4.51132671988948e-08
23846,84.99,16.35,1513,3,5,eu recomendo seca bem rápido os cabelos e deixa bem macios também faz um barulho alto o material é um pouco frágil mas atendeu minhas expectativas,7.0,1,0.9972387539607328,8.894085999786967e-09,0.0027612371451846847
10762,149.0,40.37,1893,1,4,cumpre oq promete,14.0,1,0.9488196511197394,0.04153055028675573,0.009649798593505066
4340,79.9,17.81,188,1,5,odores meus lençóis de cetim super recomendo 10,13.0,1,0.9944888079454592,0.005457409871957555,5.378218258348465e-05
15089,67.91,19.07,981,6,1,o produto ainda não chegou,38.0,-1,0.4605086625640539,0.4880319703629361,0.05145936707300857
55659,179.8,18.51,568,1,1,não tem como avaliar o produto se ainda nao recebi,38.0,-1,0.0021279599378746395,0.9719873576279956,0.02588468243413154
75285,79.9,17.99,259,1,5,o produto maravilhoso adorei recomendo as pessoas a compra muito bom mesmo vale a pena,7.0,1,0.99999993773959,3.9496254918161665e-09,5.8310784705153376e-08
35008,234.9,12.85,208,1,4,produto muito bom recebi muito antes do prazo de entrega,7.0,1,0.9999873311079834,1.6103821907933087e-06,1.1058509828665758e-05
83376,34.99,7.78,575,1,5,muito rápido,3.0,1,0.9896274819649762,0.004696836731219906,0.005675681303803362
27896,329.9,22.39,494,1,5,o produto é muito bom foi entregue antes do prazo excelente vendedor eu recomendo,3.0,1,0.9999999555504654,2.421885910098066e-09,4.202764711497379e-08
86168,61.9,0.99,417,1,1,a entrega foi parcial pois somente o 93 foi entregue estando pendente o 92,15.0,-1,0.0012268892083352988,0.77503361485606,0.22373949593559886
34607,69.9,42.9,1197,1,4,bom,16.0,1,0.9233330201320997,0.026104577347292088,0.050562402520607994
81438,59.8,11.86,388,1,1,recebi parte dos ítens comprados apenas 3 unidades do kit na cor pérola faltaram as 2 unidades do kit na cor preta,4.0,-1,9.066258222718723e-09,0.9966098270606083,0.0033901638731322872
93244,29.99,15.1,615,1,1,muita demora na entrega,29.0,-1,0.5379766726652679,0.3174583902711367,0.14456493706359405
76497,169.0,20.16,560,1,5,nota 10,5.0,1,0.8015893005968133,0.1727140968653246,0.025696602537861702
48369,99.9,19.94,189,1,5,achei excelente seguro produto exatamente como está na foto só recomendo encurtar o prazo de entrega fiquei ansiosa pela mercadoria,14.0,1,0.9999986155792788,2.0106771774390355e-08,1.3643139461805772e-06
32576,99.99,22.98,948,1,5,muito bom,16.0,1,0.981074642491602,0.004709300623163155,0.014216056885234052
79892,45.9,12.69,473,1,3,gostaria de efetuar uma troca não gostei da mercadoria teria como fico no aguardo mnadei um email pra vcs e até agora não obtive nenhum retorno referente a troca,8.0,0,4.184033292687105e-11,0.9999938172553154,6.182702858164145e-06
8099,249.9,83.61,266,3,5,entrega antes do prazo marcado muito satisfeito,8.0,1,0.9999897083654641,1.2263834535862544e-06,9.065251079823528e-06
39697,337.69,28.62,523,2,5,está de parabéns o targaryen pela agilidade e confiabilidade nos produtos e na entrega,13.0,1,0.999754236780999,8.721277085077074e-05,0.0001585504481517919
84441,899.0,20.04,666,2,4,satisfeito com o serviço prestado,5.0,1,0.9955853589938447,0.0013326249560414384,0.0030820160501141315
46136,59.99,16.86,1159,4,4,tudo ok,26.0,1,0.9828913937671655,0.002530395100343763,0.014578211132490058
14045,149.9,58.84,1912,5,5,mercadoria boa,17.0,1,0.847644582004779,0.10519667339242966,0.047158744602791715
974,39.5,7.87,1270,2,5,rapidez na entrega,2.0,1,0.9783494359061848,0.005213021510451459,0.016437542583362275
64014,29.0,7.78,167,2,5,lindo relógio pulseira a entrega foi antes do prazo super recomendo obrigada a todos,2.0,1,0.9999999189472353,3.531943996712249e-09,7.752082309892584e-08
5659,1999.99,29.63,3897,8,1,prazo de entrega de 14 dias úteis e consultando o pedido 2 dias depois do fim do prazo e ainda não foi emitida nota fiscal já estou preocupado com a compra,30.0,-1,0.008523768100835659,0.9910512557000337,0.00042497619913821284
11550,103.0,13.38,650,1,5,prometeu e cumpriu,5.0,1,0.8843235279408493,0.03885808618026413,0.07681838587888588
14663,110.0,8.93,669,1,5,entrega rápida e satisfatória,3.0,1,0.9981489745598232,0.000316048006259072,0.0015349774339188749
37758,41.9,15.1,999,1,5,satisfeita,13.0,1,0.9731302031702607,0.014816322059339169,0.012053474770400082
78458,370.47,33.34,1125,3,1,estou esperando meu produto,35.0,-1,0.14394887899428568,0.8322313228017123,0.023819798204002915
73997,53.0,7.94,885,3,5,lindo relógio muito delicado,5.0,1,0.9980165853291855,0.0004185556318866007,0.001564859038929042
13160,96.0,10.85,385,2,1,frete muito caro,10.0,-1,0.8188238821940413,0.08214280392925252,0.09903331387670539
87035,35.9,14.1,303,12,5,so eu eu ja havia respondido,11.0,1,0.06050217212523336,0.8833780324893402,0.056119795385423145
86743,31.9,8.72,600,1,5,quero trocar pois comprei o modelo errado o que posso fazer,10.0,1,0.0002162761433823437,0.9938895509072055,0.005894172949411127
40619,149.9,17.79,1688,4,1,vende um produto na foto vermelho e manda outro que por sinal veio de outra marca e na cor verde totalmente fora do que anuncia no site nunca mais compra nesta loja,6.0,-1,2.323458840360039e-07,0.9999653047661424,3.446288798007836e-05
68273,52.0,16.61,809,5,4,achei o produto bom principalmente porque o pinico é removível uma sugestão seria que o fabricante colocasse pés fixador porque quando a criança vai sentar o produto desloca um pouco do lugar,15.0,1,0.09140350770558156,0.00016377189559546986,0.9084327203988312
14720,169.0,16.06,630,1,1,mercadoria não foi entregue no prazo estipulado decepcionante,62.0,-1,0.8526359327665967,0.13296801634600605,0.01439605088739756
76086,325.0,23.07,2644,6,5,produto com custo benefício excelente além disso a empresa reserva garantia do produto e transparece confiança,21.0,1,0.9999895632583603,1.5500787521026884e-07,1.0281733767775555e-05
76426,179.98,90.18,1893,1,5,estou satisfeito com o produto e prazo,13.0,1,0.9957833876791212,0.0027822093101710047,0.0014344030107091635
11605,299.99,12.96,819,4,5,chegou muito antes do prazo com 2 dias produto perfeito,3.0,1,0.9999957065582106,1.3781086466756217e-06,2.9153331458015817e-06
60238,80.0,25.84,2079,1,4,o preço do frete poderia ser mais em conta,10.0,1,0.8906006685545331,0.00373911741431458,0.1056602140311498
11942,64.9,17.29,460,1,5,o produto veio dentro do prazo e em bom estado,8.0,1,0.9997499041496282,1.7149983531532155e-05,0.00023294586683831703
42364,151.9,14.81,1140,1,5,entrega rápida e produto maravilhoso,10.0,1,0.9996726390264833,6.653712919153567e-05,0.0002608238443242368
3319,126.72,22.82,1532,5,5,o produto chegou muito antes do previsto muito rápido mesmo,9.0,1,0.9999975675230628,3.5323461328300085e-07,2.0792423248951416e-06
26067,18.99,15.1,303,1,5,o produto chegou dentro do prazo tudo certo e sem nenhum problema recomendo a todos,13.0,1,0.9999982399254677,5.215164758657249e-07,1.238558056871121e-06
89282,145.9,18.27,1735,5,5,recomendo a todos,19.0,1,0.9857437892417574,0.010624011537634906,0.003632199220607256
81094,330.0,22.34,2644,6,5,chegou antes do prazo em boa qualidade e bem embalado,15.0,1,0.9999962711321646,2.294681142510062e-07,3.499399721201564e-06
27871,1300.0,116.7,2952,3,5,produto entregue antes do prazo e em perfeito estado super recomendo,15.0,1,0.999999970073397,6.728815787227772e-09,2.3197790404115604e-08
60667,98.0,57.64,340,2,5,muito bom,9.0,1,0.981074642491602,0.004709300623163155,0.014216056885234052
28944,139.9,16.68,511,4,5,produto entregue antes do prazo e em perfeitas condições,5.0,1,0.9999864668681002,2.2348087157960692e-06,1.1298323182974974e-05
38994,109.9,18.35,704,3,5,lindo produto recomendo,8.0,1,0.998223693738489,0.0005970470437570845,0.0011792592177543057
24727,129.99,12.11,897,1,5,as bolsas são lindas,3.0,1,0.9650311796351594,0.004048433883506353,0.030920386481335115
94530,8.43,7.94,1140,1,5,empresa ótima produto entregue antes mesmo do prazo adorei recomendo as minhas amigas de curso de enfermagem,4.0,1,0.9999999814091753,3.104174114044909e-10,1.8280406854282212e-08
24317,18.9,16.79,118,1,3,gosto muito de comprar nas lojas lannister sempre fiel no prazo de entrega vou continuar comprando sempre que precisar o problema foi só esse controle paralelo não funcionou mesmo,9.0,0,0.9998302127965694,6.110608934081623e-06,0.00016367659449547975
38063,181.55,12.77,277,1,5,entregue em tempo hábil respondeu as minhas expectativas,3.0,1,0.9992336605188324,0.00048724960609488943,0.0002790898750719673
95086,139.9,15.73,1198,3,5,tiveram problema na entrega que me preocupou mas conseguirão isso que importa o produto é show,14.0,1,0.6967255668610133,0.006370617647442635,0.29690381549153816
84741,209.9,19.04,1208,2,5,bom produto correspondeu as minhas espectativas,13.0,1,0.9990367329938509,0.00018668000144985667,0.0007765870046963984
76215,899.9,23.55,2984,10,4,o produto chegou antes da data prevista e muito bem embalado porém veio na cor errada quando fiz o pedido solicitei o modelo de cor preta e veio o modelo de cor branca,18.0,1,0.5177364830448143,0.42198794069184425,0.06027557626333169
21144,114.9,18.05,167,1,4,consumidor satisfeito,24.0,1,0.9616540399543717,0.032016609986822556,0.006329350058806232
97378,112.0,7.65,640,1,5,a loja foi muito rápida no envio recebi tudo certo e de forma eficiente grata,2.0,1,0.9999845675134744,2.684850644512766e-06,1.274763588398647e-05
99228,23.99,16.79,575,1,4,resistente bonito bom para um serviço profissional,7.0,1,0.9956410717265507,4.573353074733838e-05,0.004313194742704881
91880,84.99,21.39,1071,1,4,satisfatório,21.0,1,0.8414029535400704,0.09664891210664349,0.061948134353285327
9659,76.0,15.28,973,1,5,obg,15.0,1,0.8912342614029798,0.055451962634087526,0.05331377596293218
43587,99.9,16.33,329,1,5,produto aprovado boa qualidade igual no anúncio,6.0,1,0.9984781532576033,0.0008593904263140026,0.0006624563160860294
57890,39.0,8.43,722,4,5,entrega feita antes do prazo produto muito bem embalado,3.0,1,0.999996472592454,2.3258695784051415e-07,3.2948205868034435e-06
80786,146.9,15.2,1132,2,1,produto chegou corretamente porém houve uma demora demasiada obrigado,21.0,-1,0.61691321885153,0.1632996774519585,0.2197871036965088
27380,479.9,12.57,976,2,5,chegou antes do esperado muito bom,2.0,1,0.9999461153145159,2.640674306639993e-06,5.124401117692521e-05
82915,179.9,12.76,421,1,5,o produto veio perfeito otima embalagem voltarei a comprar obrigado,12.0,1,0.9999771276285162,1.1852110601945452e-06,2.1687160422133874e-05
86176,43.99,14.62,636,1,5,excelente fazer compras pelo targaryen é show,4.0,1,0.999852669373468,4.882813253444811e-05,9.85024939980107e-05
65673,154.9,28.36,2290,5,5,sempre compro na lannister e tive nenhum problema,16.0,1,0.82436950397968,0.1671524657575545,0.00847803026276525
30602,79.8,18.66,3911,1,1,péssimo,10.0,-1,0.18129401632182762,0.7319456874176878,0.08676029626048462
47894,54.9,17.31,1045,3,5,nota 10,12.0,1,0.8015893005968133,0.1727140968653246,0.025696602537861702
27005,110.0,9.52,773,3,5,comprei em um dia e chegou no dia seguinte super rápido,2.0,1,0.9914614157317386,0.008069538834262003,0.0004690454339976765
10460,301.0,17.87,1000,2,5,produto muito bom recomendo,10.0,1,0.9988057659532336,0.0003591049567331503,0.000835129090032846
27342,81.49,16.82,1124,3,5,muito bom,9.0,1,0.981074642491602,0.004709300623163155,0.014216056885234052
13693,699.0,26.6,2300,2,1,estou muito decepcionado pelo atraso e até hoje não recebi nenhuma justificativa não recomendo e não farei mais nenhuma compra nessa loja,43.0,-1,1.3720710768714825e-05,0.9999847832766872,1.4960125478698366e-06
86330,29.0,14.1,322,4,2,produdo muito fragil e superficial parece um relogio de brinquedo,7.0,-1,0.17989224435084225,0.2849363835674553,0.5351713720816973
72000,29.5,16.11,207,2,4,bem satisfatório,26.0,1,0.9676590650259107,0.011473911011007245,0.020867023963081963
33524,1197.9,130.18,1193,1,5,o produto chegou antes da data prevista amei,11.0,1,0.9999948348365519,1.458382398294425e-06,3.706781046631964e-06
51729,89.7,31.77,1561,1,1,não gostei por que me mandaram a cor errada,9.0,-1,0.0026613220100970923,0.918160190369328,0.0791784876205759
16352,129.99,29.31,897,1,1,até o momento não recebi o pedido também não recebi informações do atraso de entrega do pedido,61.0,-1,0.0006956427738294702,0.9986516606860121,0.0006526965401618291
20916,125.0,17.31,556,3,1,o produto é replica de material frágil paguei 125 fora quase 30 de frete por uma réplica enquato na loja um e 250 e arrependi se soubesse nunca compraria aq não recomendado horrível não gostei,24.0,-1,2.2105520489760249e-10,0.9993765393284577,0.0006234604504901303
7958,16.9,7.78,592,1,5,entrega super rápida e o produto é ótimo,2.0,1,0.9999626012390509,2.807210359580869e-06,3.459155058866389e-05
52365,99.99,16.95,873,2,5,a entrega foi no prazo esta de parabéns,5.0,1,0.9989014987633883,0.0003377152610697019,0.0007607859755436351
12787,81.96,37.08,3725,6,2,eu recebi só um produto e eu pedi 4,5.0,-1,0.07992430116844779,0.8703186684005094,0.049757030431044
20739,99.99,17.27,628,1,2,era pra ser um presente de aniversário porém ñ foi cumprida a data da entrega,24.0,-1,0.016523149941355425,0.9700130275322957,0.01346382252635397
26137,229.04,19.32,621,1,5,produto chegou em ótimo estado antes do previsto e recomendo pneu de boa qualidade,7.0,1,0.9999999437989844,3.357833605956221e-09,5.2843183280542064e-08
23890,99.99,15.45,534,6,5,adorei,16.0,1,0.9921811830873425,0.004958458505311974,0.0028603584073454667
22477,599.0,15.4,1496,3,5,otima compra obrigada,3.0,1,0.9983264252356654,0.0006307272384323619,0.0010428475259020738
64203,9.99,15.79,379,1,5,tudo certo recomendo,16.0,1,0.9977779261012316,0.000638216179123223,0.0015838577196457483
24259,70.0,38.64,789,1,1,o produto veio faltando uma unidade e ainda não consegui entrar em contato com ninguém para solucionar o problema gostaria de saber como vai ficar agora,17.0,-1,3.3184352984261765e-11,0.999998361551554,1.638415264455056e-06
2245,80.4,15.67,578,1,5,muito bom,6.0,1,0.981074642491602,0.004709300623163155,0.014216056885234052
28930,149.9,58.9,598,3,5,excelente recebi o tel antes do prazo citado em perfeita ordem estou muito satisfeito e futuramente irei entrar em contato para solicitar uma bateria suplementar para o tel obrigado abraço,4.0,1,0.9999987913916101,4.8238192993507853e-08,1.1603701966535802e-06
32529,29.0,7.78,184,6,5,entrega feita de um dia para o outro,1.0,1,0.23071247768933176,0.720053018781742,0.04923450352892786
30733,35.0,9.0,789,1,5,amei minha luminária mas na foto parece um pouco menor,6.0,1,0.884845182587129,0.0029399002660667186,0.112214917146803
66200,133.0,43.34,556,3,4,o relógio aparenta ser de qualidade inferior aos relógios da marca casio e não veio com manual em português o que demonstra que é importado,15.0,1,0.014394225351350666,0.1007129608133477,0.8848928138352976
93274,285.0,60.51,208,1,5,muito bom chegou antes do período combinado eo violão é bom,12.0,1,0.9999893888337991,1.811454078538127e-08,1.059305165918623e-05
13258,129.94,34.27,1092,1,5,linda perfeita cor vibrante e material excelente,20.0,1,0.9997006793569446,3.014484290559776e-06,0.00029630615876568845
52538,89.0,29.02,205,2,1,ainda não recebi o produto,110.0,-1,0.10797658108532575,0.836727245288085,0.0552961736265906
25542,26.99,17.6,393,1,4,produto de qualidade conforme o anunciado chegou dentro do prazo que o vendedor estipulou,13.0,1,0.9999828907108332,5.801180346173346e-06,1.1308108818605686e-05
36722,41.1,7.87,698,1,5,o produto é pequeno porém de boa qualidade e muito lindo,2.0,1,0.9984417585082038,8.958640001300601e-05,0.0014686550917820803
72070,49.9,19.32,77,2,1,após aguardar mais de 1 mês da data do pagamento o pedido foi cancelado pelo sistema fiz uma reclamação no site e até agora não recebi resposta uma falta de respeito e desonestidade,36.0,-1,6.265590960541556e-11,0.9999999416430699,5.829427365485285e-08
23145,105.99,21.23,586,4,4,não manda mais pelo correio o correio de santa catarina de itajai e uma bosta não entregam na residencia tem que ir buscar la,21.0,1,3.677263351418667e-06,0.9887881561018093,0.011208166634829025
1075,18.99,24.84,351,4,5,pontualidade produto com qualidade,6.0,1,0.9928532273558378,0.005341740062802567,0.0018050325813581977
69662,41.99,13.87,610,1,3,obrigada,12.0,0,0.9376086997802495,0.0354691071259854,0.026922193093765614
76463,249.9,83.61,266,3,5,excelente vendedor o produto chegou antes do prazo esperado,6.0,1,0.9999988150143708,5.648160233551807e-08,1.128504028711898e-06
24225,348.88,19.69,672,2,5,relógio muito bonito e funcionando bem ficou perfeito na sala recomendo o produto,21.0,1,0.9999805219144303,3.9967918445008906e-07,1.9078406384789893e-05
77225,492.0,22.63,371,3,1,mais responsabilidade com os clientes quanto origem do produto qualidade certeza de que o produto entregue é de acordo com o pedido,6.0,-1,0.9942016219540203,0.0057524331103783405,4.5944935603481624e-05
98308,69.5,17.42,140,2,3,produto bonitinho mas podia vir com uma moldura vem apenas a mandala em vidro e muito caro para o produto que vem,14.0,0,0.011569669437140545,0.0024081470475858374,0.9860221835152683
3626,119.8,35.34,341,2,5,produto de qualidade perfeito gostei,14.0,1,0.9984441755112362,0.0006273072987965116,0.0009285171899683423
38131,19.9,42.38,331,1,1,produto com defeito,22.0,-1,0.39870188361186365,0.527116610865262,0.07418150552287371
87950,21.33,15.1,1171,1,5,muito bom,14.0,1,0.981074642491602,0.004709300623163155,0.014216056885234052
11190,19.9,7.4,554,4,1,o pedido dizia um kit de porta copos com 6 unidades mas recebi apenas 2 gostaria de informações de como podemos resolver isto caso tudo seja resolvido de acordo minha avaliação será outra obrigada,5.0,-1,1.5341516002481542e-08,0.9999687439797028,3.124067878540138e-05
